P_Strategy,P_Index,P_StartTime,P_EndTime,P_OrderSide,P_Method,P_SL,P_UTSL,P_OM,Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL,UT.Strike,UT.Open,UT.High,UT.Low,UT.Close,UT.SL.Flag,UT.SL.Time,BPL,TT.PL.AT.SL,UT.PL.AT.SL,UT.PNL,Total.PNL
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,90.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,11:52:00,-15.917999999999996,17650CE,48.95,54.75,31.8,50.25,False,,0.0,-15.917999999999996,18.914499999999993,-1.2999999999999972,1.6965000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,90.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,11:52:00,-15.917999999999996,17650CE,48.95,54.75,31.8,50.25,False,,0.0,-15.917999999999996,18.914499999999993,-1.2999999999999972,1.6965000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,90.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,11:52:00,-15.917999999999996,17650CE,48.95,54.75,31.8,50.25,False,,0.0,-15.917999999999996,18.914499999999993,-1.2999999999999972,1.6965000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,90.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,11:52:00,-15.917999999999996,17650CE,48.95,54.75,31.8,50.25,False,,0.0,-15.917999999999996,18.914499999999993,-1.2999999999999972,1.6965000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,100.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,11:52:00,-31.47899999999999,17650CE,117.6,131.4,82.45,125.0,False,,0.0,-31.47899999999999,31.939500000000017,-7.400000000000006,-6.939499999999978
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,100.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,11:52:00,-15.917999999999996,17650CE,48.95,54.75,31.8,50.25,False,,0.0,-15.917999999999996,18.914499999999993,-1.2999999999999972,1.6965000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,100.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,11:52:00,-15.917999999999996,17650CE,48.95,54.75,31.8,50.25,False,,0.0,-15.917999999999996,18.914499999999993,-1.2999999999999972,1.6965000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,100.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,11:52:00,-15.917999999999996,17650CE,48.95,54.75,31.8,50.25,False,,0.0,-15.917999999999996,18.914499999999993,-1.2999999999999972,1.6965000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,20.0,100.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,11:52:00,-15.917999999999996,17650CE,48.95,54.75,31.8,50.25,False,,0.0,-15.917999999999996,18.914499999999993,-1.2999999999999972,1.6965000000000003
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,50.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,12:39:00,-46.469,17650CE,95.3,131.4,82.45,125.0,False,,0.0,-46.469,54.239500000000014,-29.700000000000003,-21.92949999999999
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,50.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,50.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,50.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,50.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,70.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,12:39:00,-46.469,17650CE,95.3,131.4,82.45,125.0,False,,0.0,-46.469,54.239500000000014,-29.700000000000003,-21.92949999999999
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,70.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,70.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,70.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,70.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,80.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,12:39:00,-46.469,17650CE,95.3,131.4,82.45,125.0,False,,0.0,-46.469,54.239500000000014,-29.700000000000003,-21.92949999999999
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,80.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,80.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,80.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,80.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,90.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,12:39:00,-46.469,17650CE,95.3,131.4,82.45,125.0,False,,0.0,-46.469,54.239500000000014,-29.700000000000003,-21.92949999999999
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,90.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,90.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,90.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,90.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,100.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,12:39:00,-46.469,17650CE,95.3,131.4,82.45,125.0,False,,0.0,-46.469,54.239500000000014,-29.700000000000003,-21.92949999999999
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,100.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,100.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,100.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,30.0,100.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:39:00,-23.497999999999994,17650CE,36.8,54.75,31.8,50.25,False,,0.0,-23.497999999999994,31.0645,-13.450000000000003,-5.883499999999998
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,50.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,12:44:00,-61.45900000000001,17650CE,91.55,131.4,82.45,125.0,False,,0.0,-61.45900000000001,57.989500000000014,-33.45,-36.9195
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,50.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,True,15:13:00,0.0,-31.078000000000007,32.4645,-17.699999999999996,-16.3135
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,50.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,True,15:13:00,0.0,-31.078000000000007,32.4645,-17.699999999999996,-16.3135
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,50.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,True,15:13:00,0.0,-31.078000000000007,32.4645,-17.699999999999996,-16.3135
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,50.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,True,15:13:00,0.0,-31.078000000000007,32.4645,-17.699999999999996,-16.3135
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,70.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,12:44:00,-61.45900000000001,17650CE,91.55,131.4,82.45,125.0,False,,0.0,-61.45900000000001,57.989500000000014,-33.45,-36.9195
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,70.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,70.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,70.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,70.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,80.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,12:44:00,-61.45900000000001,17650CE,91.55,131.4,82.45,125.0,False,,0.0,-61.45900000000001,57.989500000000014,-33.45,-36.9195
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,80.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,80.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,80.0,0.3,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,80.0,0.4,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,90.0,0.0,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,151.05,175.0,82.45,125.0,False,,24.53950000000001,17800PE,149.9,226.55,106.4,146.7,True,12:44:00,-61.45900000000001,17650CE,91.55,131.4,82.45,125.0,False,,0.0,-61.45900000000001,57.989500000000014,-33.45,-36.9195
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,90.0,0.1,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
B120,NIFTY,09:20:00,15:25:00,SELL,HL,40.0,90.0,0.2,2022-01-06,Thursday,7,09:30:00,17755.0,17650CE,68.55,77.1,31.8,50.25,False,,17.614499999999996,17800PE,75.8,121.3,48.25,68.7,True,12:44:00,-31.078000000000007,17650CE,35.4,54.75,31.8,50.25,False,,0.0,-31.078000000000007,32.4645,-14.850000000000001,-13.463500000000007
